player_name,mlb_id,class_year,family,role,card_type,set_slug,scp_url,auto_card_url,resolution_source
Adrian Sampson,592716.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/adrian-sampson-bcp20,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/adrian-sampson-bcap-asa,
Akeel Morris,592570.0,2015,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/akeel-morris-bcap-amo,
Amir Garrett,607237.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/amir-garrett-bcp158,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/amir-garrett-bcap-aga,
Andrew Benintendi,643217.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/andrew-benintendi-182,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/andrew-benintendi-bca-ab,
Andrew Suarez,605498.0,2015,draft,pitcher,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/andrew-suarez-170,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/andrew-suarez-bca-asu,
Antonio Senzatela,622608.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/antonio-senzatela-bcp183,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/antonio-senzatela-bcap-as,
Austin Dean,621573.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2016-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2016-bowman-chrome-prospects/austin-dean-bcp-146,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/austin-dean-bcap-ad,
Austin Voth,608723.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/austin-voth-bcp28,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/austin-voth-bcap-av,
Bobby Wahl,592833.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/bobby-wahl-bcp172,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/bobby-wahl-bcap-bw,
Brett Graves,605255.0,2015,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/brett-graves-bcap-bg,
Brett Phillips,621433.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/brett-phillips-bcp137,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/brett-phillips-bcap-bp,
Carson Fulmer,608334.0,2015,draft,pitcher,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/carson-fulmer-118,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/carson-fulmer-bca-cf,
Carson Smith,605476.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/carson-smith-bcp164,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/carson-smith-bcap-csi,
Chris Shaw,622046.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/chris-shaw-37,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/chris-shaw-bca-cs,
Christin Stewart,621514.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/christin-stewart-178,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/christin-stewart-bca-cst,
Cody Bellinger,641355.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2016-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2016-bowman-chrome-prospects/cody-bellinger-bcp-182,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/cody-bellinger-bcap-cbe,
Cody Reed,642003.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/cody-reed-bcp233,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/cody-reed-bcap-cr,
Dansby Swanson,621020.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/dansby-swanson-1,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/dansby-swanson-bcap-ds,
Darnell Sweeney,572182.0,2015,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/darnell-sweeney-bcap-ds,
Dixon Machado,553988.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/dixon-machado-bcp5,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/dixon-machado-bcap-dm,
Gleyber Torres,650402.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2016-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2016-bowman-chrome-prospects/gleyber-torres-bcp-236,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/gleyber-torres-bcap-gt,
Grayson Greiner,606988.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/grayson-greiner-bcp245,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/grayson-greiner-bcap-gg,
Hector Olivera,493343.0,2015,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/hector-olivera-bcap-ho,
Ian Happ,664023.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/ian-happ-28,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/ian-happ-bca-ih,
J.D. Davis,605204.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jd-davis-bcp214,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jd-davis-bcap-jd,
Jacob Nix,656798.0,2015,draft,pitcher,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/jacob-nix-143,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/jacob-nix-bca-jni,
Jairo Labourt,607951.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jairo-labourt-bcp94,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jairo-labourt-bcap-jl,
Jake Cave,595909.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jake-cave-bcp204,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jake-cave-bcap-jc,
Jarlin Garcia,606424.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jarlin-garcia-bcp148,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jarlin-garcia-bcap-jg,
Jefry Rodriguez,622446.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jefry-rodriguez-bcp205,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jefry-rodriguez-bcap-jr,
Jon Moscot,621209.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/jon-moscot-bcp163,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/jon-moscot-bcap-jmo,
Kevin Newman,621028.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/kevin-newman-64,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/kevin-newman-bca-kn,
Kolby Allard,663465.0,2015,draft,pitcher,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/kolby-allard-10,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/kolby-allard-bca-ka,
Kyle Tucker,663656.0,2015,draft,hitter,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/kyle-tucker-75,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/kyle-tucker-bca-kt,
Luiz Gohara,627894.0,2015,chrome,pitcher,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/luiz-gohara-bcp165,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/luiz-gohara-bcap-lg,
Mallex Smith,605480.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/mallex-smith-bcp199,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/mallex-smith-bcap-ms,
Michael Conforto,624424.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/michael-conforto-bcp218,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/michael-conforto-bcap-mc,
Michael Soroka,647336.0,2015,draft,pitcher,bowman_1st_base,baseball-cards-2015-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-draft-chrome/michael-soroka-181,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-draft-pick-autograph/michael-soroka-bca-ms,
Miguel Castro,612434.0,2015,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/miguel-castro-bcap-mc,
Nick Pivetta,601713.0,2015,chrome,pitcher,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/nick-pivetta-bcap-np,
Pedro Severino,600474.0,2015,chrome,hitter,bowman_1st_base,baseball-cards-2015-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospects/pedro-severino-bcp6,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome-prospect-autograph/pedro-severino-bcap-ps,
