card_slug,player_name,mlb_id,rookie_year,card_type,grade,sales_per_week,n_chart_points,chart_first,chart_last
baseball-cards-2021-bowman-chrome/bobby-witt-jr-bcp193,Bobby Witt Jr,677951,2022,bowman_1st,ungraded,14.0,44,2023-02-01,2026-09-01
baseball-cards-2018-topps-chrome/ronald-acuna-jr-193,Ronald Acuna Jr.,660670,2018,flagship,psa_10,8.4,67,2021-03-01,2026-09-01
baseball-cards-2014-bowman-chrome/devin-williams-bcp7,Devin Williams,642207,2020,bowman_1st,ungraded,7.0,10,2025-12-01,2026-09-01
baseball-cards-2017-topps-chrome/aaron-judge-169,Aaron Judge,592450,2017,flagship,psa_10,7.0,67,2021-03-01,2026-09-01
baseball-cards-2018-topps-chrome-update/juan-soto-hmt55,Juan Soto,665742,2018,flagship,psa_10,7.0,67,2021-03-01,2026-09-01
baseball-cards-2019-topps-chrome/fernando-tatis-jr-203,Fernando Tatis Jr.,665487,2019,flagship,psa_10,6.774193548387096,67,2021-03-01,2026-09-01
baseball-cards-2019-topps-chrome/pete-alonso-204,Pete Alonso,624413,2019,flagship,psa_10,4.833333333333333,67,2021-03-01,2026-09-01
baseball-cards-2025-bowman-chrome/roki-sasaki-12,Roki Sasaki,808963,2025,bowman_1st,ungraded,4.565217391304348,13,2025-09-01,2026-09-01
baseball-cards-2019-topps-chrome/vladimir-guerrero-jr-201,Vladimir Guerrero Jr.,665489,2019,flagship,psa_10,3.9622641509433962,67,2021-03-01,2026-09-01
baseball-cards-2025-topps-chrome-update/nick-kurtz-usc178,Nick Kurtz,701762,2025,flagship,ungraded,3.9152542372881354,10,2025-12-01,2026-09-01
baseball-cards-2024-topps-chrome-update/paul-skenes-usc88,Paul Skenes,694973,2024,flagship,psa_10,3.5,23,2024-11-01,2026-09-01
baseball-cards-2020-topps-chrome/randy-arozarena-49,Randy Arozarena,668227,2020,flagship,psa_10,3.1343283582089554,66,2021-04-01,2026-09-01
baseball-cards-2025-topps-chrome/jacob-wilson-96,Jacob Wilson,805779,2025,flagship,ungraded,3.043478260869565,15,2025-07-01,2026-09-01
baseball-cards-2024-bowman-chrome/paul-skenes-31,Paul Skenes,694973,2024,bowman_1st,psa_10,2.9577464788732395,25,2024-09-01,2026-09-01
baseball-cards-2020-topps-chrome/kyle-lewis-186,Kyle Lewis,641786,2020,flagship,psa_10,2.8208955223880596,67,2021-03-01,2026-09-01
baseball-cards-2025-bowman-chrome/nick-kurtz-93,Nick Kurtz,701762,2025,bowman_1st,psa_10,2.5609756097560976,12,2025-10-01,2026-09-01
