player_name,role,rookie_year,set_slug,mlb_id,scp_url
Bobby Witt Jr,hitter,2022,baseball-cards-2022-topps-chrome,677951,https://www.sportscardspro.com/game/baseball-cards-2022-topps-chrome/bobby-witt-jr-221
Julio Rodriguez,hitter,2022,baseball-cards-2022-topps-chrome,677594,https://www.sportscardspro.com/game/baseball-cards-2022-topps-chrome/julio-rodriguez-222
Adley Rutschman,hitter,2022,baseball-cards-2022-topps-chrome,668939,
Spencer Strider,pitcher,2022,baseball-cards-2022-topps-chrome,675911,
Gunnar Henderson,hitter,2023,baseball-cards-2023-topps-chrome,683002,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/gunnar-henderson-2
Corbin Carroll,hitter,2023,baseball-cards-2023-topps-chrome,682998,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/corbin-carroll-95
Jordan Walker,hitter,2023,baseball-cards-2023-topps-chrome,691023,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/jordan-walker-209
Anthony Volpe,hitter,2023,baseball-cards-2023-topps-chrome,683011,https://www.sportscardspro.com/game/baseball-cards-2023-topps-chrome/anthony-volpe-4
Jackson Chourio,hitter,2024,baseball-cards-2024-topps-chrome,694192,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/jackson-chourio-161
Paul Skenes,pitcher,2024,baseball-cards-2024-topps-chrome,694973,
Wyatt Langford,hitter,2024,baseball-cards-2024-topps-chrome,694671,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/wyatt-langford-122
Jackson Merrill,hitter,2024,baseball-cards-2024-topps-chrome,701538,https://www.sportscardspro.com/game/baseball-cards-2024-topps-chrome/jackson-merrill-207
Nick Kurtz,hitter,2025,baseball-cards-2025-topps-chrome,701762,
Jacob Wilson,hitter,2025,baseball-cards-2025-topps-chrome,805779,https://www.sportscardspro.com/game/baseball-cards-2025-topps-chrome/jacob-wilson-96
Roki Sasaki,pitcher,2025,baseball-cards-2025-topps-chrome,808963,https://www.sportscardspro.com/game/baseball-cards-2025-topps-chrome/roki-sasaki-217
Roman Anthony,hitter,2025,baseball-cards-2025-topps-chrome,701350,
