player_name,mlb_id,rookie_year,role,card_type,set_slug,scp_url
Kris Bryant,592178,2015,hitter,flagship,baseball-cards-2015-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-topps-chrome/kris-bryant-112
Kris Bryant,592178,2015,hitter,bowman_1st,,
Carlos Correa,621043,2015,hitter,flagship,baseball-cards-2015-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2015-topps-chrome-update/carlos-correa-us174
Carlos Correa,621043,2015,hitter,bowman_1st,baseball-cards-2015-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome/carlos-correa-110
Francisco Lindor,596019,2015,hitter,flagship,baseball-cards-2015-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2015-topps-chrome-update/francisco-lindor-us286
Francisco Lindor,596019,2015,hitter,bowman_1st,baseball-cards-2015-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2015-bowman-chrome/francisco-lindor-89
Corey Seager,608369,2016,hitter,flagship,baseball-cards-2016-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2016-topps-chrome-update/corey-seager-hmt41
Corey Seager,608369,2016,hitter,bowman_1st,baseball-cards-2016-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2016-bowman-chrome/corey-seager-40
Trea Turner,607208,2016,hitter,flagship,baseball-cards-2016-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2016-topps-chrome/trea-turner-32
Trea Turner,607208,2016,hitter,bowman_1st,baseball-cards-2016-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2016-bowman-chrome/trea-turner-51
Aaron Judge,592450,2017,hitter,flagship,baseball-cards-2017-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2017-topps-chrome/aaron-judge-169
Aaron Judge,592450,2017,hitter,bowman_1st,,
Cody Bellinger,641355,2017,hitter,flagship,baseball-cards-2017-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2017-topps-chrome/cody-bellinger-79
Cody Bellinger,641355,2017,hitter,bowman_1st,baseball-cards-2017-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2017-bowman-chrome/cody-bellinger-27
Alex Bregman,608324,2017,hitter,flagship,baseball-cards-2017-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2017-topps-chrome/alex-bregman-9
Alex Bregman,608324,2017,hitter,bowman_1st,,
Juan Soto,665742,2018,hitter,flagship,baseball-cards-2018-topps-chrome-update,https://www.sportscardspro.com/game/baseball-cards-2018-topps-chrome-update/juan-soto-hmt55
Juan Soto,665742,2018,hitter,bowman_1st,baseball-cards-2018-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2018-bowman-chrome/juan-soto-bcp52
Ronald Acuna Jr.,660670,2018,hitter,flagship,baseball-cards-2018-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2018-topps-chrome/ronald-acuna-jr-193
Ronald Acuna Jr.,660670,2018,hitter,bowman_1st,baseball-cards-2018-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2018-bowman-chrome/ronald-acuna-jr-40
Walker Buehler,621111,2018,pitcher,flagship,baseball-cards-2018-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2018-topps-chrome/walker-buehler-71
Walker Buehler,621111,2018,pitcher,bowman_1st,baseball-cards-2018-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2018-bowman-chrome/walker-buehler-34
Fernando Tatis Jr.,665487,2019,hitter,flagship,baseball-cards-2019-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-topps-chrome/fernando-tatis-jr-203
Fernando Tatis Jr.,665487,2019,hitter,bowman_1st,baseball-cards-2019-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-bowman-chrome/fernando-tatis-jr-26
Pete Alonso,624413,2019,hitter,flagship,baseball-cards-2019-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-topps-chrome/pete-alonso-204
Pete Alonso,624413,2019,hitter,bowman_1st,baseball-cards-2019-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-bowman-chrome/pete-alonso-48
Vladimir Guerrero Jr.,665489,2019,hitter,flagship,baseball-cards-2019-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-topps-chrome/vladimir-guerrero-jr-201
Vladimir Guerrero Jr.,665489,2019,hitter,bowman_1st,baseball-cards-2019-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2019-bowman-chrome/vladimir-guerrero-jr-73
Yordan Alvarez,670541,2019,hitter,flagship,,
Yordan Alvarez,670541,2019,hitter,bowman_1st,,
Kyle Lewis,641786,2020,hitter,flagship,baseball-cards-2020-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2020-topps-chrome/kyle-lewis-186
Kyle Lewis,641786,2020,hitter,bowman_1st,baseball-cards-2020-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2020-bowman-chrome/kyle-lewis-90
Randy Arozarena,668227,2020,hitter,flagship,baseball-cards-2020-topps-chrome,https://www.sportscardspro.com/game/baseball-cards-2020-topps-chrome/randy-arozarena-49
Randy Arozarena,668227,2020,hitter,bowman_1st,baseball-cards-2020-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2020-bowman-chrome/randy-arozarena-11
Devin Williams,642207,2020,pitcher,flagship,,
Devin Williams,642207,2020,pitcher,bowman_1st,baseball-cards-2014-bowman-chrome,https://www.sportscardspro.com/game/baseball-cards-2014-bowman-chrome/devin-williams-bcp7
