player_name,current_mlb_id,validated_ids
Tyler Alexander,641302,"[641302, 622066]"
Will Smith,669257,"[669257, 519293]"
David Peterson,656849,"[656849, 543639]"
Jesus Sanchez,660821,"[660821, 133260, 466454]"
Luis Gonzalez,670768,"[670768, 593574, 114935, 430840, 642694, 449451]"
Miguel Gomez,622497,"[685777, 622497]"
Logan Allen,663531,"[671106, 663531]"
Luis Garcia,472610,"[472610, 677651, 677593, 150193]"
Sean Murphy,669221,"[669221, 595340]"
Carlos Hernandez,672578,"[672578, 115815, 400056, 150059, 488957]"
Jose Devers,672701,"[672701, 691410]"
Luis Matos,682641,"[682641, 275928]"
Oscar Gonzalez,660757,"[660757, 678860]"
Carlos Rodriguez,692230,"[677578, 692230, 121349]"
Gabriel Arias,672356,"[672356, 525734]"
Jose Rodriguez,679563,"[679563, 692064, 121359, 642578, 316792, 439913]"
Jose Fermin,665877,"[665877, 820862]"
Max Muncy,571970,"[571970, 691777]"
Randy Vasquez,681190,"[681190, 691910]"
Andrew Pinckney,687605,"[687605, 456031]"
Hector Rodriguez,699302,"[699302, 121356]"
Jacob Gonzalez,694378,"[694378, 669363]"
Jacob Wilson,805779,"[805779, 607111]"
Juan Brito,682877,"[682877, 408226]"
Sean Sullivan,807743,"[807743, 696155]"
Wilmer Flores,527038,"[527038, 695865]"
Jose Fernandez,699912,"[699912, 605228, 150403, 595834, 622584]"
Ryan Johnson,696270,"[696270, 802459]"
Cade Smith,671922,"[671922, 694696]"
Fernando Perez,445010,"[800125, 622047, 445010, 607895]"
Kevin Smith,675656,"[675656, 663325, 450632]"
Ryan Howard,429667,"[429667, 664031]"
Luis Medina,665622,"[665622, 118901]"
Nick Allen,669397,"[669397, 110139]"
Greg Jones,675659,"[675659, 429983]"
Nick Green,407797,"[407797, 446550, 643340]"
Ryan Jensen,276528,"[686754, 276528]"
Daniel Cabrera,425555,"[668667, 425555]"
Erik Miller,669062,"[669062, 519031]"
Jared Jones,683003,"[683003, 702262]"
Pedro Pages,686780,"[686780, 817887]"
Will Holland,116073,"[683735, 116073]"
Eddy Diaz,113328,"[677647, 113328]"
Joe Mack,691788,"[691788, 118086]"
Jose Baez,110428,"[110428, 683399]"
Jose Torres,600526,"[686958, 600526]"
Pedro Martinez,118377,"[680932, 118377, 118376]"
Ryan Webb,444436,"[669067, 444436]"
Henry Williams,816575,"[816575, 816573]"
Juan Guerrero,115220,"[682648, 115220]"
Roberto Campos,820204,"[691449, 820204]"
Alex Ramirez,150352,"[691267, 150352]"
Andres Mesa,818172,"[818172, 692036]"
Joe Redfield,120982,"[812470, 120982]"
Joe Stewart,122781,"[680396, 122781]"
Robert Moore,818079,"[691001, 818079]"
Ramon Ramirez,459371,"[808675, 459371]"
Jamie Arnold,150374,"[701364, 150374]"
Jose Pirela,517369,"[808141, 517369]"
Aaron Brown,676345,"[676345, 606939]"
Jordan Guerrero,622218,"[622218, 663910]"
Alfredo Rodriguez,670895,"[808233, 670895]"
Moises Gomez,664332,"[664332, 656001]"
Anthony Garcia,571685,"[571685, 678803]"
Cristian Hernandez,678707,"[694183, 678707]"
Cristian Santana,655996,"[694184, 655996]"
Victor Acosta,642769,"[694193, 642769]"
Jose Ramos,682947,"[682947, 815927]"
Gabriel Rodriguez,821657,"[821657, 829712, 682621]"
Gabriel Martinez,683447,"[683447, 448843]"
Luis Baez,800232,"[800232, 678637]"
Antonio Jimenez,682607,"[682607, 806128]"
Luis Pena,821270,"[821270, 434524, 650656]"
