card,reason
Akeel Morris,no_scp_url
baseball-cards-2015-bowman-draft-chrome/andrew-suarez-170,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/bobby-wahl-bcp172,parse:KeyError
Brett Graves,no_scp_url
baseball-cards-2015-bowman-draft-chrome/carson-fulmer-118,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/carson-smith-bcp164,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/christin-stewart-178,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/cody-reed-bcp233,parse:KeyError
Darnell Sweeney,no_scp_url
Hector Olivera,no_scp_url
baseball-cards-2015-bowman-chrome-prospects/jd-davis-bcp214,parse:KeyError
baseball-cards-2015-bowman-draft-chrome/jacob-nix-143,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/jefry-rodriguez-bcp205,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/jon-moscot-bcp163,parse:KeyError
baseball-cards-2015-bowman-chrome-prospects/luiz-gohara-bcp165,parse:KeyError
Miguel Castro,no_scp_url
Nick Pivetta,no_scp_url
Steven Okert,no_scp_url
Victor Arano,no_scp_url
baseball-cards-2015-bowman-draft-chrome/yoan-lopez-2,parse:KeyError
baseball-cards-2017-bowman-draft-chrome/aj-puk-bdc47,parse:KeyError
Adam Engel,no_scp_url
baseball-cards-2017-bowman-draft-chrome/cal-quantrill-bdc21,parse:KeyError
Cavan Biggio,no_scp_url
David Hess,no_scp_url
baseball-cards-2016-bowman-chrome-prospects/isan-diaz-bcp-232,parse:KeyError
Jake Fraley,no_scp_url
Jesus Tinoco,no_scp_url
Joe Musgrove,no_scp_url
Jordan Patterson,no_scp_url
baseball-cards-2016-bowman-chrome-prospects/sam-travis-bcp-229,parse:KeyError
Tyler White,no_scp_url
baseball-cards-2018-bowman-chrome-prospects/zack-collins-bcp-230,parse:KeyError
baseball-cards-2017-bowman-chrome-prospects/david-fletcher-bcp-113,parse:KeyError
Dinelson Lamet,no_scp_url
baseball-cards-2017-bowman-chrome-prospects/francisco-mejia-bcp-51,parse:KeyError
Lewis Brinson,no_scp_url
Luis Arraez,no_scp_url
Magneuris Sierra,no_scp_url
Meibrys Viloria,no_scp_url
Miguel Gomez,no_scp_url
baseball-cards-2017-bowman-draft-chrome/tommy-doyle-bdc54,parse:KeyError
Akil Baddoo,no_scp_url
Alex Wells,no_scp_url
Cedric Mullins,no_scp_url
Edward Olivares,no_scp_url
Edwin Rios,no_scp_url
Heath Fillmyer,no_scp_url
Jaime Barria,no_scp_url
Jake McCarthy,no_scp_url
Jake Rogers,no_scp_url
Joey Lucchesi,no_scp_url
Jonathan Loaisiga,no_scp_url
baseball-cards-2018-bowman-chrome-prospects/jorge-guzman-bcp-180,parse:KeyError
Jose Siri,no_scp_url
Kris Bubic,no_scp_url
Luis Escobar,no_scp_url
Mike Shawaryn,no_scp_url
Ranger Suarez,no_scp_url
Ryan Jeffers,no_scp_url
Seth Romero,no_scp_url
Trevor Oaks,no_scp_url
Abraham Toro,no_scp_url
Brandon Bielak,no_scp_url
Cal Raleigh,no_scp_url
Carlos Hernandez,no_scp_url
Cole Irvin,no_scp_url
Edwin Uceta,no_scp_url
James Bourque,no_scp_url
Jared Oliva,no_scp_url
Jorge Alcala,no_scp_url
Livan Soto,no_scp_url
Payton Henry,no_scp_url
Alex Speas,no_scp_url
Alex Vesia,no_scp_url
Ben Braymer,no_scp_url
Brenton Doyle,no_scp_url
Bryce Elder,no_scp_url
Chris Gittens,no_scp_url
Cody Bolton,no_scp_url
Curtis Terry,no_scp_url
Drew Millas,no_scp_url
Ezequiel Duran,no_scp_url
Ford Proctor,no_scp_url
Gabriel Moreno,no_scp_url
Hogan Harris,no_scp_url
Jonathan Stiever,no_scp_url
Karl Kauffmann,no_scp_url
Lewin Diaz,no_scp_url
Logan O'Hoppe,no_scp_url
Michael Massey,no_scp_url
Packy Naughton,no_scp_url
Ryan Pepiot,no_scp_url
Taylor Jones,no_scp_url
Tucupita Marcano,no_scp_url
Tyler Ivey,no_scp_url
Vaughn Grissom,no_scp_url
Yoendrys Gomez,no_scp_url
Angel Rondon,no_scp_url
Austin Cox,no_scp_url
Ben Casparius,no_scp_url
Bryan Ramos,no_scp_url
Carlos Rodriguez,no_scp_url
Christian Scott,no_scp_url
Gregory Santos,no_scp_url
Jake Eder,no_scp_url
Johan Rojas,no_scp_url
Jordan Diaz,no_scp_url
Jose Butto,no_scp_url
Josh Winckowski,no_scp_url
Juan Then,no_scp_url
Justin Martinez,no_scp_url
Kyle Hurt,no_scp_url
Luis Frias,no_scp_url
Tanner Bibee,no_scp_url
Tyler Gentry,no_scp_url
Braxton Fulford,no_scp_url
Cade Marlowe,no_scp_url
Daylen Lile,no_scp_url
Denzel Clarke,no_scp_url
Drake Baldwin,no_scp_url
Dylan Dodd,no_scp_url
Enmanuel Valdez,no_scp_url
Evan Lee,no_scp_url
Gavin Stone,no_scp_url
Graham Ashcraft,no_scp_url
Jordan Wicks,no_scp_url
Jorge Barrosa,no_scp_url
Jose Fermin,no_scp_url
Maikel Garcia,no_scp_url
Randy Vasquez,no_scp_url
Ronny Henriquez,no_scp_url
Ryan Bliss,no_scp_url
Taj Bradley,no_scp_url
Tyler Locklear,no_scp_url
Victor Mederos,no_scp_url
Victor Scott II,no_scp_url
Zach Maxwell,no_scp_url
Abner Uribe,no_scp_url
Ben Brown,no_scp_url
Blade Tidwell,no_scp_url
Blaine Crim,no_scp_url
Brandon Walter,no_scp_url
Brett Wisely,no_scp_url
Caden Dana,no_scp_url
Cristian Mena,no_scp_url
Dominic Canzone,no_scp_url
Gordon Graceffo,no_scp_url
Hayden Juenger,no_scp_url
Javier Sanoja,no_scp_url
Joey Estes,no_scp_url
Joey Ortiz,no_scp_url
Kyler Fedko,no_scp_url
Luis Perales,no_scp_url
Nick Morabito,no_scp_url
Prelander Berroa,no_scp_url
Shay Whitcomb,no_scp_url
Tim Tawa,no_scp_url
Troy Johnston,no_scp_url
Wikelman Gonzalez,no_scp_url
Will Warren,no_scp_url
