player_name,class_year,old_mlb_id,new_mlb_id,status
Tyler Alexander,2016,641302,,ambiguous:timing
Will Smith,2016,669257,,ambiguous:timing
David Peterson,2017,656849,,ambiguous:timing
Jesus Sanchez,2017,660821,660821.0,ok:timing
Luis Gonzalez,2017,670768,,ambiguous:timing
Miguel Gomez,2017,622497,622497.0,ok:timing
Logan Allen,2018,663531,663531.0,ok:timing
Luis Garcia,2018,472610,,ambiguous:timing
Sean Murphy,2018,669221,669221.0,ok:timing
Carlos Hernandez,2019,672578,672578.0,ok:timing
Jose Devers,2019,672701,672701.0,ok:timing
Luis Matos,2020,682641,682641.0,ok:timing
Oscar Gonzalez,2020,660757,,ambiguous:timing
Carlos Rodriguez,2021,692230,,ambiguous:timing
Gabriel Arias,2021,672356,672356.0,ok:timing
Jose Rodriguez,2021,679563,,ambiguous:timing
Jose Fermin,2022,665877,,ambiguous:timing
Max Muncy,2022,571970,691777.0,ok:timing
Randy Vasquez,2022,681190,,ambiguous:timing
Andrew Pinckney,2023,687605,687605.0,ok:timing
Hector Rodriguez,2023,699302,699302.0,ok:timing
Jacob Gonzalez,2023,694378,,ambiguous:timing
Jacob Wilson,2023,805779,,ambiguous:timing
Juan Brito,2023,682877,682877.0,ok:timing
Sean Sullivan,2023,807743,,ambiguous:timing
Wilmer Flores,2023,527038,695865.0,ok:timing
Jose Fernandez,2024,699912,699912.0,ok:timing
Ryan Johnson,2024,696270,,ambiguous:timing
Cade Smith,2025,671922,,ambiguous:timing
Fernando Perez,2015,445010,,ambiguous:timing
Kevin Smith,2017,675656,663325.0,ok:timing
Ryan Howard,2017,429667,664031.0,ok:timing
Luis Medina,2018,665622,,ambiguous:timing
Nick Allen,2018,669397,,ambiguous:timing
Greg Jones,2019,675659,,ambiguous:timing
Nick Green,2019,407797,643340.0,ok:timing
Ryan Jensen,2019,276528,686754.0,ok:timing
Daniel Cabrera,2020,425555,668667.0,ok:timing
Erik Miller,2020,669062,,ambiguous:timing
Jared Jones,2020,683003,,ambiguous:timing
Pedro Pages,2020,686780,,ambiguous:timing
Will Holland,2020,116073,683735.0,ok:timing
Eddy Diaz,2021,113328,677647.0,ok:timing
Joe Mack,2021,691788,,ambiguous:timing
Jose Baez,2021,110428,683399.0,ok:timing
Jose Torres,2021,600526,,ambiguous:timing
Pedro Martinez,2021,118377,680932.0,ok:timing
Ryan Webb,2021,444436,669067.0,ok:timing
Henry Williams,2022,816575,,ambiguous:timing
Juan Guerrero,2022,115220,682648.0,ok:timing
Roberto Campos,2022,820204,691449.0,ok:timing
Alex Ramirez,2023,150352,691267.0,ok:timing
Andres Mesa,2023,818172,692036.0,ok:timing
Joe Redfield,2023,120982,812470.0,ok:timing
Joe Stewart,2023,122781,680396.0,ok:timing
Robert Moore,2023,818079,691001.0,ok:timing
Ramon Ramirez,2024,459371,808675.0,ok:timing
Jamie Arnold,2025,150374,701364.0,ok:timing
Jose Pirela,2025,517369,808141.0,ok:timing
Aaron Brown,2015,676345,606939.0,ok:timing
Jordan Guerrero,2016,622218,,ambiguous:timing
Alfredo Rodriguez,2017,670895,670895.0,ok:timing
Moises Gomez,2019,664332,,ambiguous:timing
Anthony Garcia,2020,571685,678803.0,ok:timing
Cristian Hernandez,2021,678707,,ambiguous:timing
Cristian Santana,2021,655996,,ambiguous:timing
Victor Acosta,2021,642769,,ambiguous:timing
Jose Ramos,2022,682947,682947.0,ok:timing
Gabriel Rodriguez,2021,821657,682621.0,ok:timing
Gabriel Martinez,2023,683447,683447.0,ok:timing
Luis Baez,2024,800232,,ambiguous:timing
Antonio Jimenez,2025,682607,,ambiguous:timing
Luis Pena,2025,821270,821270.0,ok:timing
