player_name,class_year,reason
Conor Biggio,2015,no_exact_match
Corelle Prime,2015,no_exact_match
Joe Wendle,2015,no_exact_match
Trent Clark,2015,no_exact_match
Wimer Difo,2015,no_exact_match
Zach Bird,2015,no_exact_match
Antonio Santillan,2016,no_exact_match
Buddy Reed,2016,no_exact_match
Daniel Poncedeleon,2016,no_exact_match
Eddy Julio Martinez,2016,no_exact_match
Javier Guerra,2016,no_exact_match
Joshua Lowe,2016,no_exact_match
Oneal Cruz,2016,no_exact_match
Wei Chieh Huang,2016,no_exact_match
Chih Wei Hu,2017,no_exact_match
Christopher Seise,2017,no_exact_match
Isaiah White,2017,no_exact_match
Lazarito Armenteros,2017,no_exact_match
Mitchell White,2017,no_exact_match
Greg Soto,2018,no_exact_match
Leonardo Rivas,2018,no_exact_match
Noah Naylor,2018,no_exact_match
Shao Ching Chiang,2018,no_exact_match
Cam Roegner,2019,no_exact_match
Cameron Cannon,2019,no_exact_match
Leonardo Jimenez,2019,no_exact_match
Mike Siani,2019,no_exact_match
Quintin Torres Costa,2019,no_exact_match
Canaan Smith,2020,no_exact_match
Daxton Fulton,2020,no_exact_match
Glenallen Hill Jr.,2020,no_exact_match
Philip Clarke,2020,no_exact_match
Thad Ward,2020,no_exact_match
Dominic Hamel,2021,no_exact_match
Jose Bonilla,2021,ambiguous:directory duplicate candidate 678593 at sport 14 season 2021; candidate 682661 at sport 14 season 2021
Mac Wainwright,2021,no_exact_match
Matheu Nelson,2021,no_exact_match
Rikelvin De Castro,2021,no_exact_match
Steven Hajjar,2021,no_exact_match
T. J. White,2021,no_exact_match
Benjamin Cowles,2022,no_exact_match
Cameron Cauley,2022,no_exact_match
Cole Phillips,2022,no_exact_match
Dominic Keegan,2022,no_exact_match
Ignacio Alvarez,2022,no_exact_match
Leonardo Balcazar,2022,no_exact_match
Michael Burrows,2022,no_exact_match
Ricardo Cabrera,2022,no_exact_match
Brandon Mayea,2023,no_exact_match
Jun Seok Shim,2023,no_exact_match
Leonardo Bernal,2023,no_exact_match
Mairoshendrick Martinus,2023,no_exact_match
Nikau Pouaka Grego,2023,no_exact_match
TayShaun Walton,2023,no_exact_match
Zach Thornton,2023,no_exact_match
Filippo Di Turri,2024,no_exact_match
Gino Groover,2024,no_exact_match
Jensy Rivas,2024,no_exact_match
Josh Kuroda-Grauer,2024,no_exact_match
Bryce Boettcher,2025,no_exact_match
Cameron Maldonado,2025,no_exact_match
Cameron Sullivan,2025,no_exact_match
Christopher Suero,2025,no_exact_match
Griffin Hugus,2025,no_exact_match
Ichiro Cano Hernandez,2025,no_exact_match
Peter Kussow,2025,no_exact_match
Yeremi Cabrera,2025,no_exact_match
Akeel Morris,2015,no_base_card
Brett Graves,2015,no_base_card
Darnell Sweeney,2015,no_base_card
Hector Olivera,2015,no_base_card
Miguel Castro,2015,no_base_card
Nick Pivetta,2015,no_base_card
Steven Okert,2015,no_base_card
Victor Arano,2015,no_base_card
Adam Engel,2016,no_base_card
Cavan Biggio,2016,no_base_card
David Hess,2016,no_base_card
Jake Fraley,2016,no_base_card
Jesus Tinoco,2016,no_base_card
Joe Musgrove,2016,no_base_card
Jordan Patterson,2016,no_base_card
Tyler White,2016,no_base_card
Dinelson Lamet,2017,no_base_card
Lewis Brinson,2017,no_base_card
Luis Arraez,2017,no_base_card
Magneuris Sierra,2017,no_base_card
Meibrys Viloria,2017,no_base_card
Miguel Gomez,2017,no_base_card
Akil Baddoo,2018,no_base_card
Alex Wells,2018,no_base_card
Cedric Mullins,2018,no_base_card
Edward Olivares,2018,no_base_card
Edwin Rios,2018,no_base_card
Heath Fillmyer,2018,no_base_card
Jaime Barria,2018,no_base_card
Jake McCarthy,2018,no_base_card
Jake Rogers,2018,no_base_card
Joey Lucchesi,2018,no_base_card
Jonathan Loaisiga,2018,no_base_card
Jose Siri,2018,no_base_card
Kris Bubic,2018,no_base_card
Luis Escobar,2018,no_base_card
Mike Shawaryn,2018,no_base_card
Ranger Suarez,2018,no_base_card
Ryan Jeffers,2018,no_base_card
Seth Romero,2018,no_base_card
Trevor Oaks,2018,no_base_card
Abraham Toro,2019,no_base_card
Brandon Bielak,2019,no_base_card
Cal Raleigh,2019,no_base_card
Carlos Hernandez,2019,no_base_card
Cole Irvin,2019,no_base_card
Edwin Uceta,2019,no_base_card
James Bourque,2019,no_base_card
Jared Oliva,2019,no_base_card
Jorge Alcala,2019,no_base_card
Livan Soto,2019,no_base_card
Payton Henry,2019,no_base_card
Alex Speas,2020,no_base_card
Alex Vesia,2020,no_base_card
Ben Braymer,2020,no_base_card
Brenton Doyle,2020,no_base_card
Bryce Elder,2020,no_base_card
Chris Gittens,2020,no_base_card
Cody Bolton,2020,no_base_card
Curtis Terry,2020,no_base_card
Drew Millas,2020,no_base_card
Ezequiel Duran,2020,no_base_card
Ford Proctor,2020,no_base_card
Gabriel Moreno,2020,no_base_card
Hogan Harris,2020,no_base_card
Jonathan Stiever,2020,no_base_card
Karl Kauffmann,2020,no_base_card
Lewin Diaz,2020,no_base_card
Logan O'Hoppe,2020,no_base_card
Michael Massey,2020,no_base_card
Packy Naughton,2020,no_base_card
Ryan Pepiot,2020,no_base_card
Taylor Jones,2020,no_base_card
Tucupita Marcano,2020,no_base_card
Tyler Ivey,2020,no_base_card
Vaughn Grissom,2020,no_base_card
Yoendrys Gomez,2020,no_base_card
Angel Rondon,2021,no_base_card
Austin Cox,2021,no_base_card
Ben Casparius,2021,no_base_card
Bryan Ramos,2021,no_base_card
Carlos Rodriguez,2021,no_base_card
Christian Scott,2021,no_base_card
Gregory Santos,2021,no_base_card
Jake Eder,2021,no_base_card
Johan Rojas,2021,no_base_card
Jordan Diaz,2021,no_base_card
Jose Butto,2021,no_base_card
Josh Winckowski,2021,no_base_card
Juan Then,2021,no_base_card
Justin Martinez,2021,no_base_card
Kyle Hurt,2021,no_base_card
Luis Frias,2021,no_base_card
Tanner Bibee,2021,no_base_card
Tyler Gentry,2021,no_base_card
Braxton Fulford,2022,no_base_card
Cade Marlowe,2022,no_base_card
Daylen Lile,2022,no_base_card
Denzel Clarke,2022,no_base_card
Drake Baldwin,2022,no_base_card
Dylan Dodd,2022,no_base_card
Enmanuel Valdez,2022,no_base_card
Evan Lee,2022,no_base_card
Gavin Stone,2022,no_base_card
Graham Ashcraft,2022,no_base_card
Jordan Wicks,2022,no_base_card
Jorge Barrosa,2022,no_base_card
Jose Fermin,2022,no_base_card
Maikel Garcia,2022,no_base_card
Randy Vasquez,2022,no_base_card
Ronny Henriquez,2022,no_base_card
