event,source,event_id,season,league,award,n_outcomes,collected_through
mlb-al-mvp,polymarket,21615,2025,AL,MVP,26,2025-11-14
mlb-al-cy-young,polymarket,21618,2025,AL,CY,26,2025-11-13
al-rookie-of-the-year,polymarket,24004,2025,AL,ROY,32,2025-11-11
mlb-nl-mvp,polymarket,21617,2025,NL,MVP,26,2025-11-14
mlb-nl-cy-young,polymarket,21628,2025,NL,CY,26,2025-11-13
nl-rookie-of-the-year,polymarket,24007,2025,NL,ROY,29,2025-11-11
pro-baseball-2026-al-mvp,polymarket,215595,2026,AL,MVP,51,2026-09-19
mlb-2026-al-cy-young-winner,polymarket,215638,2026,AL,CY,65,2026-09-19
mlb-al-rookie-of-the-year,polymarket,307813,2026,AL,ROY,46,2026-09-19
mlb-2026-nl-mvp,polymarket,215604,2026,NL,MVP,51,2026-09-19
mlb-2026-nl-cy-young-winner,polymarket,215675,2026,NL,CY,69,2026-09-19
mlb-nl-rookie-of-the-year,polymarket,308028,2026,NL,ROY,46,2026-09-19
KXMLBNLMVP-26,kalshi,KXMLBNLMVP-26,2026,NL,MVP,53,2026-09-19
KXMLBALMVP-26,kalshi,KXMLBALMVP-26,2026,AL,MVP,49,2026-09-19
KXMLBALCY-26,kalshi,KXMLBALCY-26,2026,AL,CY,42,2026-09-19
KXMLBNLCY-26,kalshi,KXMLBNLCY-26,2026,NL,CY,46,2026-09-19
KXMLBALROTY-26,kalshi,KXMLBALROTY-26,2026,AL,ROY,30,2026-09-19
KXMLBNLROTY-26,kalshi,KXMLBNLROTY-26,2026,NL,ROY,30,2026-09-19
