player_name,event,volume,source,gap
Mike Trout,mlb-al-mvp,11837.797727,polymarket,
José Ramírez,mlb-al-mvp,13617.400297,polymarket,
Rafael Devers,mlb-al-mvp,18612.105808,polymarket,
Player A,mlb-al-mvp,0.0,polymarket,
Player C,mlb-al-mvp,0.0,polymarket,
Player D,mlb-al-mvp,0.0,polymarket,
Player E,mlb-al-mvp,0.0,polymarket,
Player F,mlb-al-mvp,0.0,polymarket,
Player G,mlb-al-mvp,0.0,polymarket,
Player H,mlb-al-mvp,0.0,polymarket,
Player I,mlb-al-mvp,0.0,polymarket,
Player J,mlb-al-mvp,0.0,polymarket,
Player K,mlb-al-mvp,0.0,polymarket,
Player L,mlb-al-mvp,0.0,polymarket,
Player M,mlb-al-mvp,0.0,polymarket,
Player N,mlb-al-mvp,0.0,polymarket,
Player O,mlb-al-mvp,0.0,polymarket,
Other,mlb-al-mvp,0.0,polymarket,
Jacob deGrom,mlb-al-cy-young,8642.533029,polymarket,
Pablo Lopez,mlb-al-cy-young,2530.597366,polymarket,
Framber Valdez,mlb-al-cy-young,8705.059307,polymarket,
Hunter Brown,mlb-al-cy-young,15809.596351,polymarket,
Max Fried,mlb-al-cy-young,11879.210574,polymarket,
Player A,mlb-al-cy-young,0.0,polymarket,
Player B,mlb-al-cy-young,0.0,polymarket,
Player C,mlb-al-cy-young,0.0,polymarket,
Player D,mlb-al-cy-young,0.0,polymarket,
Player E,mlb-al-cy-young,0.0,polymarket,
Player F,mlb-al-cy-young,0.0,polymarket,
Player G,mlb-al-cy-young,0.0,polymarket,
Player H,mlb-al-cy-young,0.0,polymarket,
Player I,mlb-al-cy-young,0.0,polymarket,
Player J,mlb-al-cy-young,0.0,polymarket,
Player K,mlb-al-cy-young,0.0,polymarket,
Player L,mlb-al-cy-young,0.0,polymarket,
Player M,mlb-al-cy-young,0.0,polymarket,
Player N,mlb-al-cy-young,0.0,polymarket,
Player O,mlb-al-cy-young,0.0,polymarket,
Other,mlb-al-cy-young,0.0,polymarket,
Cameron Smith,al-rookie-of-the-year,15836.437296,polymarket,
Noah Cameron,al-rookie-of-the-year,3704.795777,polymarket,
Tomoyuki Sugano,al-rookie-of-the-year,138311.152935,polymarket,
Jack Leiter,al-rookie-of-the-year,13698.121777,polymarket,
Player B,al-rookie-of-the-year,0.0,polymarket,
Player C,al-rookie-of-the-year,0.0,polymarket,
Player D,al-rookie-of-the-year,0.0,polymarket,
Player E,al-rookie-of-the-year,0.0,polymarket,
Player F,al-rookie-of-the-year,0.0,polymarket,
Player G,al-rookie-of-the-year,0.0,polymarket,
Player H,al-rookie-of-the-year,0.0,polymarket,
Player I,al-rookie-of-the-year,0.0,polymarket,
Player J,al-rookie-of-the-year,0.0,polymarket,
Player K,al-rookie-of-the-year,0.0,polymarket,
Player L,al-rookie-of-the-year,0.0,polymarket,
Player M,al-rookie-of-the-year,0.0,polymarket,
Player N,al-rookie-of-the-year,0.0,polymarket,
Player O,al-rookie-of-the-year,0.0,polymarket,
Player P,al-rookie-of-the-year,0.0,polymarket,
Player Q,al-rookie-of-the-year,0.0,polymarket,
Player R,al-rookie-of-the-year,0.0,polymarket,
Player S,al-rookie-of-the-year,0.0,polymarket,
Other,al-rookie-of-the-year,0.0,polymarket,
Shohei Ohtani,mlb-nl-mvp,436228.816455,polymarket,
Mookie Betts,mlb-nl-mvp,6983.473748,polymarket,
Bryce Harper,mlb-nl-mvp,9142.00916,polymarket,
Ketel Marte,mlb-nl-mvp,4919.173498,polymarket,
Player A,mlb-nl-mvp,0.0,polymarket,
Kyle Schwarber,mlb-nl-mvp,0.0,polymarket,
Player E,mlb-nl-mvp,0.0,polymarket,
Player F,mlb-nl-mvp,0.0,polymarket,
Player G,mlb-nl-mvp,0.0,polymarket,
Player H,mlb-nl-mvp,0.0,polymarket,
Player I,mlb-nl-mvp,0.0,polymarket,
Player J,mlb-nl-mvp,0.0,polymarket,
Player K,mlb-nl-mvp,0.0,polymarket,
Player L,mlb-nl-mvp,0.0,polymarket,
Player M,mlb-nl-mvp,0.0,polymarket,
Player N,mlb-nl-mvp,0.0,polymarket,
Player O,mlb-nl-mvp,0.0,polymarket,
Other,mlb-nl-mvp,0.0,polymarket,
Zack Wheeler,mlb-nl-cy-young,12735.053482,polymarket,
Chris Sale,mlb-nl-cy-young,7251.922124,polymarket,
Blake Snell,mlb-nl-cy-young,7478.534666,polymarket,
Dylan Cease,mlb-nl-cy-young,6618.945677,polymarket,
Tyler Glasnow,mlb-nl-cy-young,12575.340666,polymarket,
Yoshinobu Yamamoto,mlb-nl-cy-young,26806.478504,polymarket,
Sandy Alcantara,mlb-nl-cy-young,7126.914666,polymarket,
Kodai Senga,mlb-nl-cy-young,5959.614666,polymarket,
Cristopher Sánchez,mlb-nl-cy-young,6509.993928,polymarket,
Player A,mlb-nl-cy-young,0.0,polymarket,
Player B,mlb-nl-cy-young,0.0,polymarket,
Player C,mlb-nl-cy-young,0.0,polymarket,
Player D,mlb-nl-cy-young,0.0,polymarket,
Player E,mlb-nl-cy-young,0.0,polymarket,
Player F,mlb-nl-cy-young,0.0,polymarket,
Player G,mlb-nl-cy-young,0.0,polymarket,
Player H,mlb-nl-cy-young,0.0,polymarket,
Player I,mlb-nl-cy-young,0.0,polymarket,
Player J,mlb-nl-cy-young,0.0,polymarket,
other,mlb-nl-cy-young,0.0,polymarket,
Augustin Ramirez,nl-rookie-of-the-year,4452.445,polymarket,
Eric Wagaman,nl-rookie-of-the-year,2516.525,polymarket,
Other,nl-rookie-of-the-year,0.0,polymarket,
Player D,nl-rookie-of-the-year,0.0,polymarket,
Player E,nl-rookie-of-the-year,0.0,polymarket,
Player F,nl-rookie-of-the-year,0.0,polymarket,
Player G,nl-rookie-of-the-year,0.0,polymarket,
Player H,nl-rookie-of-the-year,0.0,polymarket,
Player I,nl-rookie-of-the-year,0.0,polymarket,
Player J,nl-rookie-of-the-year,0.0,polymarket,
Player K,nl-rookie-of-the-year,0.0,polymarket,
Player L,nl-rookie-of-the-year,0.0,polymarket,
Player M,nl-rookie-of-the-year,0.0,polymarket,
Player N,nl-rookie-of-the-year,0.0,polymarket,
Player O,nl-rookie-of-the-year,0.0,polymarket,
Player P,nl-rookie-of-the-year,0.0,polymarket,
Jose Ramirez,pro-baseball-2026-al-mvp,1789.43158,polymarket,
Mike Trout,pro-baseball-2026-al-mvp,441.630327,polymarket,
Ben Rice,pro-baseball-2026-al-mvp,3165.8597910000003,polymarket,
Byron Buxton,pro-baseball-2026-al-mvp,496.87649999999996,polymarket,
Wilson Contreras,pro-baseball-2026-al-mvp,273.68,polymarket,
Munetaka Murakami,pro-baseball-2026-al-mvp,466.87300000000005,polymarket,
Player I,pro-baseball-2026-al-mvp,0.0,polymarket,
Player J,pro-baseball-2026-al-mvp,0.0,polymarket,
Player K,pro-baseball-2026-al-mvp,0.0,polymarket,
Player L,pro-baseball-2026-al-mvp,0.0,polymarket,
Player M,pro-baseball-2026-al-mvp,0.0,polymarket,
Player N,pro-baseball-2026-al-mvp,0.0,polymarket,
Player O,pro-baseball-2026-al-mvp,0.0,polymarket,
Player P,pro-baseball-2026-al-mvp,0.0,polymarket,
Player Q,pro-baseball-2026-al-mvp,0.0,polymarket,
Player R,pro-baseball-2026-al-mvp,0.0,polymarket,
Player S,pro-baseball-2026-al-mvp,0.0,polymarket,
Player T,pro-baseball-2026-al-mvp,0.0,polymarket,
Player U,pro-baseball-2026-al-mvp,0.0,polymarket,
Player V,pro-baseball-2026-al-mvp,0.0,polymarket,
Player W,pro-baseball-2026-al-mvp,0.0,polymarket,
Player X,pro-baseball-2026-al-mvp,0.0,polymarket,
Player Y,pro-baseball-2026-al-mvp,0.0,polymarket,
Player Z,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AA,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AB,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AC,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AD,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AE,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AF,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AG,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AH,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AI,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AJ,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AK,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AL,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AM,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AN,pro-baseball-2026-al-mvp,0.0,polymarket,
Player AO,pro-baseball-2026-al-mvp,0.0,polymarket,
Other,pro-baseball-2026-al-mvp,0.0,polymarket,
Jacob deGrom,mlb-2026-al-cy-young-winner,59587.95334500001,polymarket,
Hunter Brown,mlb-2026-al-cy-young-winner,657.053,polymarket,
Max Fried,mlb-2026-al-cy-young-winner,485068.0638330001,polymarket,
Bryan Woo,mlb-2026-al-cy-young-winner,3648.875713,polymarket,
Kyle Bradish,mlb-2026-al-cy-young-winner,618.5629999999999,polymarket,
Nathan Eovaldi,mlb-2026-al-cy-young-winner,1407.4250000000002,polymarket,
Dylan Cease,mlb-2026-al-cy-young-winner,22378.180567000003,polymarket,
Carlos Rodón,mlb-2026-al-cy-young-winner,949.6199999999999,polymarket,
Kevin Gausman,mlb-2026-al-cy-young-winner,1686.4276820000002,polymarket,
Jose Soriano,mlb-2026-al-cy-young-winner,2800.469141,polymarket,
Pablo Lopez,mlb-2026-al-cy-young-winner,32705.617,polymarket,
Gerrit Cole,mlb-2026-al-cy-young-winner,589.695,polymarket,
Parker Messick,mlb-2026-al-cy-young-winner,28526.096092,polymarket,
Drew Rasmussen,mlb-2026-al-cy-young-winner,2126.5862660000003,polymarket,
Sonny Gray,mlb-2026-al-cy-young-winner,3053.095591,polymarket,
player F,mlb-2026-al-cy-young-winner,0.0,polymarket,
player G,mlb-2026-al-cy-young-winner,0.0,polymarket,
player H,mlb-2026-al-cy-young-winner,0.0,polymarket,
player I,mlb-2026-al-cy-young-winner,0.0,polymarket,
player J,mlb-2026-al-cy-young-winner,0.0,polymarket,
player K,mlb-2026-al-cy-young-winner,0.0,polymarket,
player L,mlb-2026-al-cy-young-winner,0.0,polymarket,
player M,mlb-2026-al-cy-young-winner,0.0,polymarket,
player N,mlb-2026-al-cy-young-winner,0.0,polymarket,
player O,mlb-2026-al-cy-young-winner,0.0,polymarket,
player P,mlb-2026-al-cy-young-winner,0.0,polymarket,
player Q,mlb-2026-al-cy-young-winner,0.0,polymarket,
player R,mlb-2026-al-cy-young-winner,0.0,polymarket,
player S,mlb-2026-al-cy-young-winner,0.0,polymarket,
player T,mlb-2026-al-cy-young-winner,0.0,polymarket,
player U,mlb-2026-al-cy-young-winner,0.0,polymarket,
player V,mlb-2026-al-cy-young-winner,0.0,polymarket,
player W,mlb-2026-al-cy-young-winner,0.0,polymarket,
player X,mlb-2026-al-cy-young-winner,0.0,polymarket,
player Y,mlb-2026-al-cy-young-winner,0.0,polymarket,
player Z,mlb-2026-al-cy-young-winner,0.0,polymarket,
player AA,mlb-2026-al-cy-young-winner,0.0,polymarket,
player AB,mlb-2026-al-cy-young-winner,0.0,polymarket,
