mlb_id,name,birth_date,position
677951,Bobby Witt Jr.,2000-06-14,SS
677594,Julio Rodríguez,2000-12-29,CF
668939,Adley Rutschman,1998-02-06,C
675911,Spencer Strider,1998-10-28,P
683002,Gunnar Henderson,2001-06-29,SS
682998,Corbin Carroll,2000-08-21,RF
691023,Jordan Walker,2002-05-22,RF
683011,Anthony Volpe,2001-04-28,SS
694192,Jackson Chourio,2004-03-11,LF
694973,Paul Skenes,2002-05-29,P
694671,Wyatt Langford,2001-11-15,LF
701538,Jackson Merrill,2003-04-19,CF
701762,Nick Kurtz,2003-03-12,1B
805779,Jacob Wilson,2002-03-30,SS
808963,Roki Sasaki,2001-11-03,P
701350,Roman Anthony,2004-05-13,LF
