mlb_id,name,birth_date,position
592178,Kris Bryant,1992-01-04,DH
592450,Aaron Judge,1992-04-26,RF
596019,Francisco Lindor,1993-11-14,SS
607208,Trea Turner,1993-06-30,SS
608324,Alex Bregman,1994-03-30,3B
608369,Corey Seager,1994-04-27,SS
621043,Carlos Correa,1994-09-22,SS
621111,Walker Buehler,1994-07-28,P
624413,Pete Alonso,1994-12-07,1B
641355,Cody Bellinger,1995-07-13,LF
641786,Kyle Lewis,1995-07-13,CF
642207,Devin Williams,1994-09-21,P
660670,Ronald Acuña Jr.,1997-12-18,RF
663697,Jonathan India,1996-12-15,2B
665487,Fernando Tatis Jr.,1999-01-02,RF
665489,Vladimir Guerrero Jr.,1999-03-16,1B
665742,Juan Soto,1998-10-25,LF
666969,Adolis García,1993-03-02,RF
668227,Randy Arozarena,1995-02-28,LF
668939,Adley Rutschman,1998-02-06,C
670541,Yordan Alvarez,1997-06-27,DH
671739,Michael Harris II,2001-03-07,CF
672284,Jarred Kelenic,1999-07-16,RF
675911,Spencer Strider,1998-10-28,P
677551,Wander Franco,2001-03-01,SS
677594,Julio Rodríguez,2000-12-29,CF
677951,Bobby Witt Jr.,2000-06-14,SS
682998,Corbin Carroll,2000-08-21,RF
683002,Gunnar Henderson,2001-06-29,SS
683011,Anthony Volpe,2001-04-28,SS
691023,Jordan Walker,2002-05-22,RF
694192,Jackson Chourio,2004-03-11,LF
694671,Wyatt Langford,2001-11-15,LF
694973,Paul Skenes,2002-05-29,P
701350,Roman Anthony,2004-05-13,LF
701538,Jackson Merrill,2003-04-19,CF
701762,Nick Kurtz,2003-03-12,1B
805779,Jacob Wilson,2002-03-30,SS
808963,Roki Sasaki,2001-11-03,P
