player_name,role,rookie_year
Kris Bryant,hitter,2015
Carlos Correa,hitter,2015
Francisco Lindor,hitter,2015
Corey Seager,hitter,2016
Trea Turner,hitter,2016
Aaron Judge,hitter,2017
Cody Bellinger,hitter,2017
Alex Bregman,hitter,2017
Juan Soto,hitter,2018
Ronald Acuna Jr.,hitter,2018
Walker Buehler,pitcher,2018
Fernando Tatis Jr.,hitter,2019
Pete Alonso,hitter,2019
Vladimir Guerrero Jr.,hitter,2019
Yordan Alvarez,hitter,2019
Kyle Lewis,hitter,2020
Randy Arozarena,hitter,2020
Devin Williams,pitcher,2020
Jonathan India,hitter,2021
Adolis Garcia,hitter,2021
Wander Franco,hitter,2021
Jarred Kelenic,hitter,2021
Bobby Witt Jr,hitter,2022
Julio Rodriguez,hitter,2022
Adley Rutschman,hitter,2022
Spencer Strider,pitcher,2022
Michael Harris II,hitter,2022
Gunnar Henderson,hitter,2023
Corbin Carroll,hitter,2023
Jordan Walker,hitter,2023
Anthony Volpe,hitter,2023
Jackson Chourio,hitter,2024
Paul Skenes,pitcher,2024
Wyatt Langford,hitter,2024
Jackson Merrill,hitter,2024
Nick Kurtz,hitter,2025
Jacob Wilson,hitter,2025
Roki Sasaki,pitcher,2025
Roman Anthony,hitter,2025
