date,card_slug,psa_10_pop,total_pop,gem_rate
2026-09-15,baseball-cards-2023-topps-chrome/gunnar-henderson-2,2070,4798,0.6244
2026-09-15,baseball-cards-2023-topps-chrome/corbin-carroll-95,1769,4608,0.6124
2026-09-15,baseball-cards-2023-topps-chrome/jordan-walker-209,420,1354,0.5672
2026-09-15,baseball-cards-2023-topps-chrome/anthony-volpe-4,805,2288,0.6228
2026-09-15,baseball-cards-2024-topps-chrome/jackson-chourio-161,405,1257,0.4049
2026-09-15,baseball-cards-2024-topps-chrome-update/paul-skenes-usc88,1467,3788,0.4461
2026-09-15,baseball-cards-2024-topps-chrome/wyatt-langford-122,488,977,0.6131
2026-09-15,baseball-cards-2024-topps-chrome/jackson-merrill-207,805,2096,0.4575
2026-09-15,baseball-cards-2025-topps-chrome/jacob-wilson-96,155,390,0.5487
2026-09-15,baseball-cards-2025-topps-chrome/roki-sasaki-217,106,466,0.3069
2026-09-15,baseball-cards-2022-topps-chrome/bobby-witt-jr-221,216,540,0.4407
2026-09-15,baseball-cards-2022-topps-chrome/julio-rodriguez-222,239,553,0.5063
2026-09-15,baseball-cards-2025-topps-chrome-update/nick-kurtz-usc178,109,629,0.2003
